number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp
6422,Hoster6422,26,34,bd,7000,7026,Fight,Melisandra6197,0.079969152,1,0,0.064179837,0.723340002,0.849021871,0.80376767,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.579479075,0.420520925,0.235179538,1,0,Infinity,0.359296003,0.19622366,0.19622366,4.607707359,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.714448149,0.112753684,0.091276691,0.267576636,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.686093351
6423,Renly6423,,34,b,7000,Alive,Survived,Melisandra6197,0.157503191,0.995842468,0.004157532,0.061734436,0.72761096,0.849021871,0.775882161,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235773471,0.995842468,0.004157532,239.5273159,0.39067473,0.19622366,0.19622366,4.596553155,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267576636,0.028188421,0.248960617,59.88182896,2,0.266899862,1.567938216,43.48029997,0.8757909,0.043189338,1.05968859,1.692834859
6424,Tyrion6424,,34,b,7000,Alive,Survived,Melisandra6197,0.157503191,0.995842468,0.004157532,0.064179837,0.723340002,0.849021871,0.775882161,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235773471,0.995842468,0.004157532,239.5273159,0.390309618,0.19622366,0.19622366,4.596553155,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267576636,0.028188421,0.248960617,59.88182896,2,0.266899862,1.567938216,43.48029997,0.8757909,0.043189338,1.05968859,1.692713155
6425,Robb6425,,34,b,7000,Alive,Survived,Edmure6267,0.163894109,0.995842468,0.004157532,0.063666416,0.701748355,0.86435967,0.781180656,0.359515664,0.640484336,1,0.459102913,0.19622366,0.821490221,0.058946871,0.795135585,0.948555585,0.051444415,0.167921584,0.989054402,0.010945598,0.593082539,0.406917461,0.235967912,0.995842468,0.004157532,239.5273159,0.391512532,0.19622366,0.19622366,4.606594746,1.832172857,0.492397444,1.385581053,0.058946871,0.427041228,0.734402497,0.034946235,0.721405335,0.113434227,0.091276691,0.270237727,0.028358557,0.248960617,59.88182896,2,0.265597503,1.514310769,43.43296511,0.862959213,0.044210153,1.02427723,1.696461323
6426,Robb6426,,34,b,7000,Alive,Survived,Edmure6267,0.163894109,0.995842468,0.004157532,0.063666416,0.701748355,0.86435967,0.781180656,0.359515664,0.640484336,1,0.459102913,0.19622366,0.821490221,0.058946871,0.815220634,0.965777288,0.034222712,0.16668215,0.989054402,0.010945598,0.593082539,0.406917461,0.235967912,0.995842468,0.004157532,239.5273159,0.391512532,0.19622366,0.19622366,4.625440361,1.832172857,0.492397444,1.385581053,0.058946871,0.437083752,0.738707922,0.034946235,0.722481692,0.11281451,0.091276691,0.274949131,0.028203628,0.248960617,59.88182896,2,0.261292078,1.514310769,43.43296511,0.862959213,0.044210153,1.02427723,1.702743195
6427,Sansa6427,,34,b,7000,Alive,Survived,Edmure6267,0.163894109,0.995842468,0.004157532,0.063666416,0.701748355,0.86435967,0.781180656,0.359515664,0.640484336,1,0.459102913,0.19622366,0.821490221,0.058946871,0.795135585,0.965777288,0.034222712,0.167921584,0.989054402,0.010945598,0.593082539,0.406917461,0.235967912,0.995842468,0.004157532,239.5273159,0.391512532,0.19622366,0.19622366,4.606594746,1.832172857,0.492397444,1.385581053,0.058946871,0.427041228,0.738707922,0.034946235,0.722481692,0.113434227,0.091276691,0.270237727,0.028358557,0.248960617,59.88182896,2,0.261292078,1.514310769,43.43296511,0.862959213,0.044210153,1.02427723,1.696461323
6428,Joanna6428,,34,b,7000,Alive,Survived,Edmure6267,0.163894109,0.995842468,0.004157532,0.063666416,0.701748355,0.86435967,0.742988815,0.359515664,0.640484336,1,0.459102913,0.19622366,0.821490221,0.058946871,0.795135585,0.965777288,0.034222712,0.167921584,0.989054402,0.010945598,0.593082539,0.406917461,0.235967912,0.995842468,0.004157532,239.5273159,0.391512532,0.19622366,0.19622366,4.591318009,1.832172857,0.492397444,1.385581053,0.058946871,0.427041228,0.738707922,0.034946235,0.722481692,0.113434227,0.091276691,0.270237727,0.028358557,0.248960617,59.88182896,2,0.261292078,1.514310769,43.43296511,0.862959213,0.044210153,1.02427723,1.691369077
6429,Robert6429,,34,b,7000,Alive,Survived,Edmure6267,0.163894109,0.995842468,0.004157532,0.063666416,0.701748355,0.86435967,0.781180656,0.359515664,0.640484336,1,0.459102913,0.19622366,0.821490221,0.058946871,0.795135585,0.923273443,0.076726557,0.167921584,0.989054402,0.010945598,0.593082539,0.406917461,0.235967912,0.995842468,0.004157532,239.5273159,0.391512532,0.19622366,0.19622366,4.606594746,1.832172857,0.492397444,1.385581053,0.058946871,0.427041228,0.728081961,0.034946235,0.719825201,0.113434227,0.091276691,0.270237727,0.028358557,0.248960617,59.88182896,2,0.271918039,1.514310769,43.43296511,0.862959213,0.044210153,1.02427723,1.696461323
6430,Brandon6430,,34,b,7000,Alive,Survived,Edmure6267,0.163894109,0.995842468,0.004157532,0.063666416,0.701748355,0.871960834,0.781180656,0.359515664,0.640484336,0.965205096,0.459102913,0.19622366,0.821490221,0.058946871,0.795135585,0.965777288,0.034222712,0.167921584,0.989054402,0.010945598,0.593082539,0.406917461,0.235967912,0.995842468,0.004157532,239.5273159,0.393032764,0.19622366,0.19622366,4.599635765,1.832172857,0.492397444,1.385581053,0.058946871,0.427041228,0.738707922,0.034946235,0.722481692,0.113434227,0.091276691,0.270237727,0.028358557,0.248960617,59.88182896,2,0.261292078,1.514310769,43.43296511,0.862959213,0.044210153,1.02427723,1.694648407
6431,Hoster6431,,34,br,7000,Alive,Survived,Edmure6267,0.163894109,0.995842468,0.004157532,0.063666416,0.701748355,0.86435967,0.781180656,0.359515664,0.640484336,1,0.459102913,0.19622366,0.821490221,0.058946871,0.795135585,0.965777288,0.034222712,0.175280076,0.989054402,0.010945598,0.593082539,0.406917461,0.235967912,0.995842468,0.004157532,239.5273159,0.391512532,0.19622366,0.19622366,4.613953238,1.832172857,0.492397444,1.385581053,0.058946871,0.427041228,0.738707922,0.034946235,0.722481692,0.117113473,0.091276691,0.272077351,0.029278368,0.248960617,59.88182896,2,0.261292078,1.514310769,43.43296511,0.862959213,0.044210153,1.02427723,1.698914154
6432,Cersei6432,,34,b,7000,Alive,Survived,Joffrey6242,0.649659531,0.995842468,0.004157532,0.061205537,0.706073461,0.855689309,0.716454597,0.389119282,0.610880718,0.984916919,0.467442335,0.19622366,0.819939496,0.291649248,0.791725238,0.898497318,0.101502682,0.169067212,0.94470332,0.05529668,0.403855987,0.596144013,0.269211109,0.995842468,0.004157532,239.5273159,0.584457474,0.19622366,0.19622366,4.577090872,1.983039567,0.472661699,1.479580277,0.291649248,0.541687243,0.710800159,0.173472964,0.586259792,0.23035823,0.091104388,0.386022737,0.057589558,0.248960617,59.88182896,2,0.289199841,1.614384528,43.52329934,0.886375797,0.218736936,1.149168664,1.750884245
6433,Tommen6433,51,34,bd,7000,7051,Starvation,Joffrey6242,0.649659531,0.995842468,0.004157532,0.061205537,0.706073461,0.855689309,0.716454597,0.389119282,0.610880718,0.984916919,0.467442335,0.19622366,0.819939496,0.291649248,0.791725238,0.898497318,0.101502682,0.169067212,0.94470332,0.05529668,0.403855987,0.596144013,0.269211109,0.995842468,0.004157532,239.5273159,0.584457474,0.19622366,0.19622366,4.577090872,1.983039567,0.472661699,1.479580277,0.291649248,0.541687243,0.710800159,0.173472964,0.586259792,0.23035823,0.091104388,0.386022737,0.057589558,0.248960617,59.88182896,2,0.289199841,1.614384528,43.52329934,0.886375797,0.218736936,1.149168664,1.750884245
6434,Myrcella6434,278,34,bd,7000,7278,Starvation,Joffrey6242,0.649659531,0.995842468,0.004157532,0.061205537,0.706073461,0.855689309,0.716454597,0.389119282,0.610880718,1,0.467442335,0.186814673,0.819939496,0.291649248,0.763267132,0.898497318,0.101502682,0.171186118,0.94470332,0.05529668,0.403855987,0.596144013,0.265178686,0.995842468,0.004157532,239.5273159,0.584457474,0.186814673,0.186814673,4.55188649,2.082916053,0.46952537,1.545119158,0.291649248,0.52745819,0.710800159,0.173472964,0.586259792,0.231417683,0.091104388,0.379437936,0.057854421,0.248960617,59.88182896,2,0.289199841,1.679575968,43.58120683,0.908497393,0.218736936,1.192629624,1.742482784
6435,Brandon6435,,34,b,7000,Alive,Survived,Joffrey6242,0.649659531,0.995842468,0.004157532,0.061205537,0.706073461,0.855689309,0.716454597,0.389119282,0.610880718,0.984916919,0.467442335,0.19622366,0.819939496,0.291649248,0.791725238,0.898497318,0.101502682,0.169067212,0.94470332,0.05529668,0.403855987,0.596144013,0.269211109,0.995842468,0.004157532,239.5273159,0.584457474,0.19622366,0.19622366,4.577090872,1.983039567,0.472661699,1.479580277,0.291649248,0.541687243,0.710800159,0.173472964,0.586259792,0.23035823,0.091104388,0.386022737,0.057589558,0.248960617,59.88182896,2,0.289199841,1.614384528,43.52329934,0.886375797,0.218736936,1.149168664,1.750884245
6436,Joffrey6436,,34,b,7000,Alive,Survived,Joffrey6242,0.649659531,0.995842468,0.004157532,0.061205537,0.706073461,0.855689309,0.716454597,0.389119282,0.610880718,0.998538029,0.467442335,0.19622366,0.819939496,0.291649248,0.791725238,0.898497318,0.101502682,0.169067212,0.94470332,0.05529668,0.403855987,0.596144013,0.269211109,0.995842468,0.004157532,239.5273159,0.584457474,0.19622366,0.19622366,4.579815094,1.983039567,0.472661699,1.479580277,0.291649248,0.541687243,0.710800159,0.173472964,0.586259792,0.23035823,0.091104388,0.386022737,0.057589558,0.248960617,59.88182896,2,0.289199841,1.614384528,43.52329934,0.886375797,0.218736936,1.149168664,1.751792319
6437,Tyrion6437,51,34,bd,7000,7051,Starvation,Joffrey6242,0.649659531,0.995842468,0.004157532,0.061205537,0.706073461,0.855689309,0.716454597,0.389119282,0.610880718,0.984916919,0.467442335,0.19622366,0.793929407,0.291649248,0.791725238,0.898497318,0.101502682,0.169067212,0.94470332,0.05529668,0.403855987,0.596144013,0.269211109,0.995842468,0.004157532,239.5273159,0.584457474,0.19622366,0.19622366,4.577090872,1.983039567,0.472661699,1.479580277,0.291649248,0.541687243,0.710800159,0.173472964,0.586259792,0.23035823,0.088214379,0.386022737,0.057589558,0.248960617,59.88182896,2,0.289199841,1.614384528,43.52329934,0.886375797,0.218736936,1.149168664,1.749920908
6438,Robert6438,217,34,bd,7000,7217,Starvation,Joffrey6242,0.649659531,0.995842468,0.004157532,0.061205537,0.706073461,0.855689309,0.716454597,0.389119282,0.610880718,0.984916919,0.467442335,0.19622366,0.819939496,0.291649248,0.791725238,0.898497318,0.101502682,0.169067212,0.94470332,0.05529668,0.403855987,0.596144013,0.269211109,0.995842468,0.004157532,239.5273159,0.584457474,0.19622366,0.19622366,4.577090872,1.983039567,0.472661699,1.479580277,0.291649248,0.541687243,0.710800159,0.173472964,0.586259792,0.23035823,0.091104388,0.386022737,0.057589558,0.248960617,59.88182896,2,0.289199841,1.614384528,43.52329934,0.886375797,0.218736936,1.149168664,1.750884245
6439,Robert6439,,34,b,7000,Alive,Survived,Tommen6164,0.163894109,1,0,0.064179837,0.73175182,0.849021871,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.821490221,0.057585784,0.786598297,0.943346149,0.056653851,0.161913292,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.394548349,0.19622366,0.19622366,4.587860102,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.109749538,0.091276691,0.265920789,0.027437384,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.691228381
6440,Sansa6440,538,34,brd,7000,7538,Starvation,Tommen6164,0.163894109,1,0,0.064179837,0.73175182,0.849021871,0.775882161,0.375737686,0.624262314,0.98965167,0.445768414,0.19622366,0.821490221,0.057585784,0.786598297,0.943346149,0.056653851,0.514762096,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.394548349,0.19622366,0.19622366,4.938042006,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.28617394,0.091276691,0.35413299,0.071543485,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.807955682
6441,Robert6441,,34,br,7000,Alive,Survived,Tommen6164,0.163894109,1,0,0.064179837,0.73175182,0.849021871,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.821490221,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.394548349,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.693231145
6442,Melisandra6442,,34,br,7000,Alive,Survived,Tommen6164,0.163894109,1,0,0.064179837,0.73175182,0.849021871,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.821490221,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,1,0,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.394548349,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.735836537,0.028792892,0.725724126,0.112753684,0.091276691,0.267422862,0.028188421,0.25,Infinity,2,0.264163463,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.693231145
6443,Joanna6443,,34,br,7000,Alive,Survived,Tommen6164,0.164346636,1,0,0.064179837,0.73175182,0.849021871,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.821490221,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.39472936,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.693291482
6444,Cersei6444,,34,b,7000,Alive,Survived,Tommen6164,0.163894109,1,0,0.064179837,0.73175182,0.849021871,0.755695957,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.821490221,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.394548349,0.19622366,0.19622366,4.585793913,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.690539651
6445,Renly6445,61,34,bd,7000,7061,Fight,Tommen6164,0.163894109,1,0,0.064179837,0.73175182,0.809907741,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.821490221,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,1,0,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.386725523,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.735836537,0.028792892,0.725724126,0.112753684,0.091276691,0.267422862,0.028188421,0.25,Infinity,2,0.264163463,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.690623536
6446,Eddard6446,,34,br,7000,Alive,Survived,Sansa6255,0.163894109,1,0,0.064179837,0.723340002,0.844441851,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.804076775,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.391949981,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.112753684,0.089341864,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.69172008
6447,Brandon6447,,34,b,7000,Alive,Survived,Sansa6255,0.163894109,1,0,0.064179837,0.723340002,0.849021871,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.804076775,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.695755402,0.304244598,0.235179538,1,0,Infinity,0.392865985,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.772586313,0.112753684,0.089341864,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.692025414
6448,Arya6448,,34,b,7000,Alive,Survived,Sansa6255,0.163894109,1,0,0.064179837,0.723340002,0.872803456,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.804076775,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.990723502,0.009276498,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.397622302,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733517413,0.033431141,0.723984783,0.112753684,0.089341864,0.267422862,0.028188421,0.25,Infinity,2,0.266482587,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.693610853
6449,Joffrey6449,,34,br,7000,Alive,Survived,Sansa6255,0.157984527,1,0,0.064179837,0.723340002,0.849021871,0.775882161,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.804076775,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.390502153,0.19622366,0.19622366,4.593868394,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.112753684,0.089341864,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.69123747
6450,Stannis6450,,34,b,7000,Alive,Survived,Sansa6255,0.163894109,1,0,0.064179837,0.723340002,0.849021871,0.775882161,0.375737686,0.624262314,0.994065382,0.477395769,0.19622366,0.804076775,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.392865985,0.19622366,0.19622366,4.598409707,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.112753684,0.089341864,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.693539186
6451,Eddard6451,,34,b,7000,Alive,Survived,Sansa6255,0.163894109,1,0,0.066353519,0.723340002,0.849021871,0.750309892,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.804076775,0.057585784,0.786598297,0.937692787,0.062307213,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.393300722,0.19622366,0.19622366,4.583639486,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.731686797,0.034265691,0.723318492,0.112753684,0.089341864,0.267422862,0.028188421,0.25,Infinity,2,0.268313203,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.688760691
6452,Rickard6452,,34,b,7000,Alive,Survived,Sansa6255,0.163894109,1,0,0.064179837,0.723340002,0.849021871,0.782192514,0.375737686,0.624262314,0.98965167,0.459102913,0.19622366,0.804076775,0.057585784,0.786598297,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.235179538,1,0,Infinity,0.392865985,0.19622366,0.19622366,4.596392535,1.91484394,0.481582762,1.437090214,0.057585784,0.422092041,0.733100138,0.034265691,0.723671827,0.112753684,0.089341864,0.267422862,0.028188421,0.25,Infinity,2,0.266899862,1.568992499,Infinity,0.876168857,0.043189338,1.060391445,1.692866795
6453,Arya6453,,34,b,7000,Alive,Survived,Myrcella6207,0.157503191,0.985451399,0.014548601,0.064179837,0.723340002,0.840279215,0.775882161,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.237257909,0.985451399,0.014548601,67.73513363,0.388561087,0.19622366,0.19622366,4.596553155,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267576636,0.028188421,0.24636285,16.93378341,2,0.266899862,1.56530321,13.16420716,0.874846257,0.043189338,1.057931919,1.692130311
6454,Jaime6454,,34,b,7000,Alive,Survived,Myrcella6207,0.157503191,0.985451399,0.014548601,0.064179837,0.723340002,0.840279215,0.775882161,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.237257909,0.985451399,0.014548601,67.73513363,0.388561087,0.19622366,0.19622366,4.596553155,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267576636,0.028188421,0.24636285,16.93378341,2,0.266899862,1.56530321,13.16420716,0.874846257,0.043189338,1.057931919,1.692130311
6455,Caitlyn6455,,34,b,7000,Alive,Survived,Myrcella6207,0.157503191,0.985451399,0.014548601,0.064179837,0.723340002,0.840279215,0.775882161,0.375737686,0.624262314,1,0.441246593,0.19622366,0.834011956,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.237257909,0.985451399,0.014548601,67.73513363,0.388561087,0.19622366,0.19622366,4.592981891,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.723671827,0.112753684,0.092667995,0.267576636,0.028188421,0.24636285,16.93378341,2,0.266899862,1.56530321,13.16420716,0.874846257,0.043189338,1.057931919,1.691403658
6456,Eddard6456,,34,br,7000,Alive,Survived,Myrcella6207,0.153125916,0.985451399,0.014548601,0.064179837,0.723340002,0.840279215,0.775882161,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.057585784,0.753126046,0.943346149,0.056653851,0.167921584,1,0,0.59792643,0.40207357,0.237257909,0.985451399,0.014548601,67.73513363,0.386810177,0.19622366,0.19622366,4.562465809,1.91484394,0.481582762,1.437090214,0.057585784,0.405355915,0.735836537,0.028792892,0.725724126,0.112753684,0.091276691,0.259054799,0.028188421,0.24636285,16.93378341,2,0.264163463,1.56530321,13.16420716,0.874846257,0.043189338,1.057931919,1.680184226
6457,Rickard6457,,34,b,7000,Alive,Survived,Myrcella6207,0.157503191,0.985451399,0.014548601,0.06212231,0.723340002,0.840279215,0.775882161,0.375737686,0.624262314,0.463592392,0.459102913,0.19622366,0.821490221,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.579058145,0.420941855,0.237257909,0.985451399,0.014548601,67.73513363,0.388149582,0.19622366,0.19622366,4.489271634,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.714237684,0.112753684,0.091276691,0.267576636,0.028188421,0.24636285,16.93378341,2,0.266899862,1.56530321,13.16420716,0.874846257,0.043189338,1.057931919,1.656232636
6458,Tyrion6458,,34,br,7000,Alive,Survived,Myrcella6207,0.150214567,0.985451399,0.014548601,0.064179837,0.723340002,0.840279215,0.775882161,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.054965944,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.236883646,0.985451399,0.014548601,67.73513363,0.385645638,0.19622366,0.19622366,4.596553155,1.91484394,0.481582762,1.437090214,0.054965944,0.421089668,0.733100138,0.032955771,0.723999307,0.111443764,0.091276691,0.266266716,0.027860941,0.24636285,16.93378341,2,0.266899862,1.565278604,13.16416312,0.874846257,0.041224458,1.057260555,1.691158495
6459,Caitlyn6459,,34,b,7000,Alive,Survived,Myrcella6207,0.157503191,0.978438534,0.021561466,0.064179837,0.723340002,0.840279215,0.755361158,0.375737686,0.624262314,1,0.459102913,0.19622366,0.821490221,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.238259747,0.978438534,0.021561466,45.3790349,0.388561087,0.19622366,0.19622366,4.588344754,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.723671827,0.112753684,0.091276691,0.267576636,0.028188421,0.244609633,11.34475872,2,0.266899862,1.563524861,9.219131124,0.874208724,0.043189338,1.056746353,1.689394177
6460,Cersei6460,,34,b,7000,Alive,Survived,Lysa6205,0.157503191,0.936647671,0.063352329,0.064179837,0.723340002,0.849021871,0.775882161,0.375737686,0.624262314,1,0.459102913,0.19622366,0.805941901,0.057585784,0.787213393,0.943346149,0.056653851,0.167921584,0.989054402,0.010945598,0.59792643,0.40207357,0.244229871,0.936647671,0.063352329,14.78473925,0.390309618,0.19622366,0.19622366,4.596553155,1.91484394,0.481582762,1.437090214,0.057585784,0.422399588,0.733100138,0.034265691,0.723671827,0.112753684,0.0895491,0.267576636,0.028188421,0.234161918,3.696184812,2,0.266899862,1.552927375,3.820840141,0.870409555,0.043189338,1.049681363,1.692137291
